productkey|currencyalternatekey|first_name|last_name|orderdatekey|orderquantity|unitprice|secretcode
214|AUD|Alonso|Danny|2013-01-12|1|34.99|43122fc5bd
214|AUD|Alvarez|Linda|2013-01-09|1|34.99|f435df2e62
214|AUD|Black|Priscilla|2013-01-29|1|34.99|92c966bed5
214|AUD|Black|Tonya|2013-02-11|1|34.99|d80f8536f2
214|AUD|Carlson|Jose|2013-02-07|1|34.99|1fa9cb4a56
214|AUD|Chande|Derek|2013-02-20|1|34.99|bab72243a9
214|AUD|Chandra|Ann|2013-01-09|1|34.99|18f42f11fc
214|AUD|Fernandez|Kristopher|2013-01-20|1|34.99|f551721e40
214|AUD|Gao|Jon|2013-01-02|1|34.99|5801f4238d
214|AUD|Gao|Todd|2012-12-31|1|34.99|b92ae6d858
214|AUD|Hu|Aimee|2013-01-31|1|34.99|061d1c18b3
214|AUD|Huang|Margaret|2013-02-20|1|34.99|a218d21e08
214|AUD|Jimenez|Gary|2013-01-30|1|34.99|6ccc8ec46a
214|AUD|Johnson|Elizabeth|2013-01-22|1|34.99|2919c7768a
214|AUD|Lal|Julie|2013-02-20|1|34.99|114f16a782
214|AUD|Li|Trisha|2013-02-16|1|34.99|94af6fb919
214|AUD|Lin|Autumn|2013-02-02|1|34.99|bfbeb07f99
214|AUD|Lin|Edwin|2013-02-10|1|34.99|32d04a9f4e
214|AUD|Liu|Candice|2013-02-02|1|34.99|909b920384
214|AUD|Luo|Raul|2013-02-14|1|34.99|eebb97740a
214|AUD|Martin|Ethan|2013-02-04|1|34.99|810ef5a9a1
214|AUD|Martinez|Tyler|2013-01-19|1|34.99|e69be01351
214|AUD|Mehta|Ann|2013-02-17|1|34.99|81c00aa79b
214|AUD|Rai|Melvin|2012-12-30|1|34.99|fe94a31245
214|AUD|Raji|Lindsey|2013-01-09|1|34.99|1b7482280f
214|AUD|Romero|Jacquelyn|2013-02-14|1|34.99|bc632bf7eb
214|AUD|Sanz|Mathew|2013-01-29|1|34.99|4f382092c4
214|AUD|Sharma|Donna|2013-02-16|1|34.99|119453db6a
214|AUD|Shen|Roger|2013-02-13|1|34.99|b138c9ef1d
214|AUD|Suri|Ronald|2013-01-11|1|34.99|a851c8f275
214|AUD|Ward|Shelby|2013-01-31|1|34.99|4e7135ae20
214|AUD|Xie|Alvin|2013-02-03|1|34.99|70af43418f
214|AUD|Xu|Peter|2012-12-31|1|34.99|474fc28cd5
214|AUD|Xu|Roger|2013-02-02|1|34.99|3f44078e75
214|AUD|Zhu|Ernest|2013-02-07|1|34.99|efbf4efd80
214|AUD|Zhu|Jenny|2013-02-04|1|34.99|8e22ba177e
214|CAD|Alexander|Aidan|2013-02-21|1|34.99|7364f5663c
214|CAD|Allen|Jack|2013-01-25|1|34.99|953e4e45ca
214|CAD|Anderson|David|2013-02-16|1|34.99|23cee8d121
214|CAD|Barnes|Haley|2013-02-03|1|34.99|cfe1ac7e8a
214|CAD|Brooks|Bryce|2013-01-29|1|34.99|547c162a2a
214|CAD|Chapman|Nancy|2013-02-09|1|34.99|d656cd2912
214|CAD|Diaz|Jason|2013-01-29|1|34.99|149ffc6e5e
214|CAD|Flores|Isabelle|2013-02-20|1|34.99|094b3bdf17
214|CAD|Garcia|Henry|2013-01-29|1|34.99|75bfa37da6
214|CAD|Green|Marcus|2013-02-21|1|34.99|7da90f3031
214|CAD|Griffin|Jordan|2013-02-09|1|34.99|01eeca9826
214|CAD|Harris|Jacob|2013-02-06|1|34.99|5f249c21fb
214|CAD|Henderson|Ashley|2013-02-21|1|34.99|ddaf2d1edc
214|CAD|Hill|Carlos|2013-02-12|1|34.99|44761a5f82
214|CAD|Jackson|Charles|2013-02-02|1|34.99|249e9c91d4
214|CAD|Jackson|Charles|2013-02-20|1|34.99|1abd63fb51
214|CAD|Martin|Gina|2013-02-15|1|34.99|6797e9bae1
214|CAD|Miller|Eduardo|2013-02-01|1|34.99|d8bb038b0b
214|CAD|Ramirez|Brian|2013-02-09|1|34.99|61847ae73c
214|CAD|Reed|Paige|2013-02-20|1|34.99|8963f6d2a8
214|CAD|Robinson|Emily|2013-02-19|1|34.99|d3a525ba8c
214|CAD|Rogers|Andrea|2013-02-22|1|34.99|ba8e108000
214|CAD|Torres|Pedro|2013-02-11|1|34.99|644f275629
214|CAD|Washington|Alexandra|2013-02-20|1|34.99|e9d21fd28f
214|CAD|Washington|Riley|2013-01-01|1|34.99|f9727fa001
214|GBP|Alvarez|Robin|2013-01-12|1|34.99|66641ea35f
214|GBP|Deng|Leonard|2013-02-12|1|34.99|c5e2620700
214|GBP|Dominguez|Jay|2013-01-24|1|34.99|9bf5a0d9fa
214|GBP|Gao|Martha|2013-01-29|1|34.99|da259e07c5
214|GBP|Gray|Devin|2013-02-07|1|34.99|e248737c8c
214|GBP|Gutierrez|Jimmy|2013-02-05|1|34.99|151c8c8149
214|GBP|Gutierrez|Kathleen|2013-02-10|1|34.99|3cc798dc9c
214|GBP|Hall|Destiny|2013-02-16|1|34.99|a397867a98
214|GBP|Lin|Curtis|2013-01-20|1|34.99|5e0096323e
214|GBP|Liu|Shannon|2013-02-08|1|34.99|07e6ec7961
214|GBP|Navarro|Dwayne|2012-12-31|1|34.99|a612228eae
214|GBP|Ortega|Gary|2013-02-02|1|34.99|6502b60763
214|GBP|Pal|Cedric|2013-02-04|1|34.99|cc6e8ac926
214|GBP|Perez|Jack|2013-02-09|1|34.99|7655cc4b88
214|GBP|Ramirez|Megan|2013-01-20|1|34.99|0346f02db3
214|GBP|Rubio|Clinton|2013-02-07|1|34.99|f73d5731ae
214|GBP|Sanchez|Darren|2013-02-03|1|34.99|24c0db56c1
214|GBP|Sanchez|Janelle|2013-01-27|1|34.99|64f0a0eead
214|GBP|Serrano|Tanya|2013-02-07|1|34.99|c4e7339213
214|GBP|She|Cara|2013-02-16|1|34.99|f0513668ba
214|GBP|Suri|Ebony|2013-01-19|1|34.99|b09669ab7d
214|GBP|Suri|Marco|2013-02-12|1|34.99|a5516de0bb
214|USD|Adams|Eric|2013-02-12|1|34.99|913e01c5a6
214|USD|Adams|Katelyn|2013-02-15|1|34.99|1a6d706914
214|USD|Allen|Marcus|2013-02-03|1|34.99|d4d659e57b
214|USD|Anderson|Matthew|2013-02-03|1|34.99|ac74e682d1
214|USD|Arthur|Janelle|2013-02-01|1|34.99|2db7e3f973
214|USD|Baker|Angel|2013-02-07|1|34.99|8fb8d8b78a
214|USD|Bell|Bryan|2013-01-10|1|34.99|d31d0fb0af
214|USD|Bell|Caitlin|2013-01-10|1|34.99|f49beb9a52
214|USD|Cai|Alan|2013-02-14|1|34.99|6c71ab01ab
214|USD|Cai|Krystal|2012-12-31|1|34.99|3736e6d076
214|USD|Cai|Lisa|2012-12-29|1|34.99|39a157fe5c
214|USD|Carter|Edward|2013-02-06|1|34.99|fa9680a6c7
214|USD|Chande|Calvin|2013-02-04|1|34.99|67a942fb07
214|USD|Chande|Cristina|2013-02-04|1|34.99|5b3ab79628
214|USD|Chandra|Adriana|2013-01-27|1|34.99|cd484fe959
214|USD|Clark|Samantha|2013-02-04|1|34.99|72aa17bd58
214|USD|Coleman|Caroline|2013-02-11|1|34.99|e46d5cb1bb
214|USD|Collins|Isabella|2013-02-03|1|34.99|c034a039c1
214|USD|Cook|Hailey|2013-02-20|1|34.99|6e89fe37df
214|USD|Cook|Stephanie|2013-02-14|1|34.99|230b9ed411
214|USD|Dominguez|Janet|2013-02-14|1|34.99|926d376b17
214|USD|Edwards|Katherine|2013-02-21|1|34.99|6dcae1f00d
214|USD|Gao|Cedric|2013-01-30|1|34.99|d1f6abf22b
214|USD|Garcia|Brenda|2013-01-30|1|34.99|a281df2ea8
214|USD|Goel|Maurice|2013-02-04|1|34.99|69c911815e
214|USD|Griffin|David|2013-02-22|1|34.99|ad3d021da8
214|USD|Guo|Jessie|2013-02-19|1|34.99|dd68258cef
214|USD|Hall|Angel|2013-02-05|1|34.99|3490dfea6d
214|USD|Hall|Jack|2013-02-04|1|34.99|e058c21f64
214|USD|Hayes|Jacqueline|2013-01-28|1|34.99|c43a1472a8
214|USD|Henderson|Kaitlyn|2012-12-28|1|34.99|d7a583a27f
214|USD|Henderson|Madison|2013-01-12|1|34.99|8795909b82
214|USD|Hughes|Hailey|2013-02-16|1|34.99|fa5a480692
214|USD|Hughes|Isabelle|2013-02-17|1|34.99|1cbbb62305
214|USD|Hughes|Jonathan|2013-01-30|1|34.99|5d9e7b70f7
214|USD|Hughes|Kelly|2013-02-06|1|34.99|2b6c9845db
214|USD|Jenkins|Jason|2013-02-22|1|34.99|9c3e32deaf
214|USD|Jimenez|Theresa|2013-01-21|1|34.99|20d9db45bf
214|USD|Johnson|Blake|2013-01-10|1|34.99|556da1a9ff
214|USD|Jones|Christopher|2013-02-06|1|34.99|740ca56689
214|USD|Kapoor|Cory|2013-02-19|1|34.99|927f6be507
214|USD|Lewis|Michael|2013-02-19|1|34.99|67bb184db4
214|USD|Li|Tiffany|2013-01-27|1|34.99|c10c55efca
214|USD|Liu|Alvin|2013-02-12|1|34.99|0e7293067e
214|USD|Liu|Colleen|2013-02-06|1|34.99|b1745e461c
214|USD|Lopez|Ivan|2013-01-05|1|34.99|e0169a1849
214|USD|Lopez|Jillian|2013-01-28|1|34.99|bcc0093fb3
214|USD|Martin|Nelson|2013-02-12|1|34.99|6b5e9cdebe
214|USD|Martinez|Denise|2012-12-29|1|34.99|ba5b5aedbb
214|USD|Martinez|Samantha|2013-02-02|1|34.99|50861a0e99
214|USD|Moreno|Max|2013-02-15|1|34.99|d616997d4e
214|USD|Munoz|Janet|2013-01-22|1|34.99|16bf480137
214|USD|Murphy|Zoe|2013-02-18|1|34.99|2a7736f743
214|USD|Navarro|Frank|2012-12-30|1|34.99|897eae06c0
214|USD|Pal|Bonnie|2013-02-02|1|34.99|265ee62d8d
214|USD|Parker|Xavier|2013-02-05|1|34.99|38615b4b8e
214|USD|Perez|Alex|2013-02-04|1|34.99|be761650a8
214|USD|Powell|Ryan|2013-02-04|1|34.99|3abd2e16e9
214|USD|Powell|Stephanie|2013-02-17|1|34.99|9acfe49a57
214|USD|Rai|Katie|2013-02-05|1|34.99|e760c2dbc0
